"Localitate","Judet"
"Abrud","Alba"
"Abrud-Sat","Alba"
"Achimetesti","Alba"
"Acmariu","Alba"
"Aiud","Alba"
"Aiudul de Sus","Alba"
"Alba Iulia","Alba"
"Albac","Alba"
"Alecus","Alba"
"Almasu de Mijloc","Alba"
"Almasu Mare","Alba"
"Ampoita","Alba"
"Anghelesti","Alba"
"Arieseni","Alba"
"Aronesti","Alba"
"Arti","Alba"
"Asinip","Alba"
"Avram Iancu","Alba"
"Avramesti (Arieseni)","Alba"
"Avramesti (Avram Iancu)","Alba"
"Baba","Alba"
"Bacainti","Alba"
"Badai","Alba"
"Bagau","Alba"
"Bai","Alba"
"Baia de Aries","Alba"
"Balcaciu","Alba"
"Balesti","Alba"
"Balesti-Catun","Alba"
"Balmosesti","Alba"
"BALOMIRU DE CAMP","Alba"
"Barabant","Alba"
"Barasti","Alba"
"Barbesti","Alba"
"Bardesti","Alba"
"Barlesti (Bistra)","Alba"
"Barlesti (Mogos)","Alba"
"Barlesti (Scarisoara)","Alba"
"Barlesti-Catun","Alba"
"Barsana","Alba"
"Barzan","Alba"
"Barzogani","Alba"
"Bazesti","Alba"
"Beldiu","Alba"
"Benic","Alba"
"Berghin","Alba"
"Beta","Alba"
"Bidigesti","Alba"
"Biharia","Alba"
"Biia","Alba"
"Bilanesti","Alba"
"Bisericani","Alba"
"Bistra","Alba"
"Blaj","Alba"
"Blandiana","Alba"
"Blidesti","Alba"
"Bobaresti (Sohodol)","Alba"
"Bobaresti (Vidra)","Alba"
"Bocesti","Alba"
"Bocsitura","Alba"
"Bodesti","Alba"
"Bodresti","Alba"
"Bogdanesti (Mogos)","Alba"
"Bogdanesti (Vidra)","Alba"
"Boglesti","Alba"
"Boldesti","Alba"
"Bolovanesti","Alba"
"Boncesti","Alba"
"Bordestii Poieni","Alba"
"Borlesti","Alba"
"Botani","Alba"
"Botesti (Campeni)","Alba"
"Botesti (Scarisoara)","Alba"
"Botesti (Zlatna)","Alba"
"Boz","Alba"
"Bradeana","Alba"
"Bradesti","Alba"
"Bradet","Alba"
"Brazesti","Alba"
"Bubesti","Alba"
"Bucerdea granoasa","Alba"
"Bucerdea Vinoasa","Alba"
"Bucium","Alba"
"Bucium-Sat","Alba"
"Bucuru","Alba"
"Budaiesti","Alba"
"Budeni","Alba"
"Bulbuc","Alba"
"Buninginea","Alba"
"Bunta","Alba"
"Burzesti","Alba"
"Burzonesti","Alba"
"Butesti (Horea)","Alba"
"Butesti (Mogos)","Alba"
"Calene","Alba"
"Calnic","Alba"
"Calugaresti","Alba"
"Campeni","Alba"
"Campu Goblii","Alba"
"Candesti","Alba"
"CAPALNA","Alba"
"Capalna de Jos","Alba"
"Captalan","Alba"
"Capu Dealului","Alba"
"Capud","Alba"
"Carasti","Alba"
"Carpen","Alba"
"Carpenii de Sus","Alba"
"Carpinis (Garbova)","Alba"
"Carpinis (Rosia Montana)","Alba"
"Cartulesti","Alba"
"Casa de Piatra","Alba"
"Casoaia","Alba"
"Cenade","Alba"
"Cerbu","Alba"
"Cergau","Alba"
"Cergau Mare","Alba"
"Cergau Mic","Alba"
"Certege","Alba"
"Ceru-Bacainti","Alba"
"Cetatea de Balta","Alba"
"Cetea","Alba"
"Cheia","Alba"
"Cheile Cibului","Alba"
"Cheleteni","Alba"
"Cib","Alba"
"Cicard","Alba"
"Cicau","Alba"
"Cioara de Sus","Alba"
"Ciocasu","Alba"
"Cionesti","Alba"
"Cistei","Alba"
"Cisteiu de Mures","Alba"
"Ciuculesti","Alba"
"Ciugud","Alba"
"Ciugudu de Jos","Alba"
"Ciugudu de Sus","Alba"
"Ciuguzel","Alba"
"Ciuldesti","Alba"
"Ciumbrud","Alba"
"Ciuruleasa","Alba"
"Coasta Hentii","Alba"
"Coasta Vascului","Alba"
"Cobles","Alba"
"Cocesti","Alba"
"Cocosesti","Alba"
"Cojocani","Alba"
"Coleseni","Alba"
"Colibi","Alba"
"Coltesti","Alba"
"Copand","Alba"
"Corna","Alba"
"Cornu","Alba"
"Coroiesti","Alba"
"Cortesti","Alba"
"Coslariu","Alba"
"Coslariu Nou","Alba"
"Costesti (Albac)","Alba"
"Costesti (Poiana Vadului)","Alba"
"Cotorasti","Alba"
"Craciunelu de Jos","Alba"
"Craciunelu de Sus","Alba"
"Craiva","Alba"
"Cretesti","Alba"
"Cricau","Alba"
"Criseni","Alba"
"Cristesti","Alba"
"Cucuta","Alba"
"Cugir","Alba"
"Culdesti","Alba"
"Cunta","Alba"
"Curaturi","Alba"
"Curmatura","Alba"
"Curpeni","Alba"
"Cut","Alba"
"Daia Romana","Alba"
"Dambureni","Alba"
"Dandut","Alba"
"Darlesti","Alba"
"Daroaia","Alba"
"Deal","Alba"
"Dealu Bajului","Alba"
"Dealu Bistrii","Alba"
"Dealu Capsei","Alba"
"Dealu Caselor","Alba"
"Dealu Crisului","Alba"
"Dealu Dostatului","Alba"
"Dealu Ferului","Alba"
"Dealu Frumos (Garda de Sus)","Alba"
"Dealu Frumos (Vadu Motilor)","Alba"
"Dealu Geoagiului","Alba"
"Dealu Goiesti","Alba"
"Dealu Lamasoi","Alba"
"Dealu Muntelui","Alba"
"Dealu Ordancusii","Alba"
"Dealu Roatei","Alba"
"Decea","Alba"
"Deleni-Obarsie","Alba"
"Deoncesti","Alba"
"Deve","Alba"
"Dilimani","Alba"
"Dobra","Alba"
"Dobresti","Alba"
"Dobrot","Alba"
"Dogaresti","Alba"
"Dolesti","Alba"
"Doptau","Alba"
"Dos","Alba"
"Dostat","Alba"
"Dosu Luncii","Alba"
"Dosu Vasesti","Alba"
"Dragoiesti-Lunca","Alba"
"Drambar","Alba"
"Drasov","Alba"
"Dric","Alba"
"Duduieni","Alba"
"Dumacesti","Alba"
"Dumbrava (Sasciori)","Alba"
"Dumbrava (Unirea)","Alba"
"Dumbrava (Zlatna)","Alba"
"Dumbravita","Alba"
"Dumesti","Alba"
"Dumitra","Alba"
"Dupa Deal (Lupsa)","Alba"
"Dupa Deal (Ponor)","Alba"
"Dupa Plese","Alba"
"Durasti","Alba"
"Faget","Alba"
"Fagetu de Jos","Alba"
"Fagetu de Sus","Alba"
"Fantanele","Alba"
"Farau","Alba"
"Fata","Alba"
"Fata Abrudului","Alba"
"Fata Cristesei","Alba"
"Fata Lapusului","Alba"
"Fata Pietrii","Alba"
"Fata-Lazesti","Alba"
"Feisa","Alba"
"Fenes","Alba"
"Feresti","Alba"
"Fericet","Alba"
"Feteni","Alba"
"Ficaresti","Alba"
"Flitesti","Alba"
"Floresti (Bucium)","Alba"
"Floresti (Campeni)","Alba"
"Floresti (Ramet)","Alba"
"Floresti (Scarisoara)","Alba"
"Furduiesti (Campeni)","Alba"
"Furduiesti (Sohodol)","Alba"
"Gabud","Alba"
"Galati","Alba"
"Galbena","Alba"
"Galda de Jos","Alba"
"Galda de Sus","Alba"
"Galtiu","Alba"
"GAMBAS","Alba"
"Ganesti","Alba"
"Garbova","Alba"
"Garbova de Jos","Alba"
"Garbova de Sus","Alba"
"Garbovita","Alba"
"Garda de Sus","Alba"
"Garda Seaca","Alba"
"Garda-Barbulesti","Alba"
"Garde","Alba"
"Geamana","Alba"
"Geoagiu de Sus","Alba"
"Geogel","Alba"
"Geomal","Alba"
"Ghedulesti","Alba"
"Ghetari","Alba"
"Ghioncani","Alba"
"Ghirbom","Alba"
"Giurgiut","Alba"
"Gligoresti","Alba"
"Glod","Alba"
"Glogovet","Alba"
"Goasele","Alba"
"Goiesti","Alba"
"Gojeiesti","Alba"
"Gorgan","Alba"
"Grosi","Alba"
"Gura Ariesului","Alba"
"Gura Cornei","Alba"
"Gura Cutului","Alba"
"Gura Izbitei","Alba"
"Gura Rosiei","Alba"
"Gura Sohodol","Alba"
"Hadarau","Alba"
"Haiducesti","Alba"
"Hanasesti (Garda de Sus)","Alba"
"Hanasesti (Poiana Vadului)","Alba"
"Hanes Mina","Alba"
"Hapria","Alba"
"Harasti","Alba"
"Hategana","Alba"
"Heleresti","Alba"
"Helesti","Alba"
"Henig","Alba"
"Heria","Alba"
"Hoanca (Sohodol)","Alba"
"Hoanca (Vidra)","Alba"
"Hodisesti","Alba"
"Hodobana","Alba"
"Holobani","Alba"
"Hoparta","Alba"
"Horea","Alba"
"Hudricesti","Alba"
"Huzaresti","Alba"
"Iacobesti","Alba"
"Ibru","Alba"
"Iclod","Alba"
"Ighiel","Alba"
"Ighiu","Alba"
"Ignatesti","Alba"
"Iliesti","Alba"
"Incesti (Avram Iancu)","Alba"
"Incesti (Posaga)","Alba"
"Inoc","Alba"
"Intregalde","Alba"
"Inuri","Alba"
"Isca","Alba"
"Ivanis","Alba"
"Izbicioara","Alba"
"Izbita","Alba"
"Izlaz","Alba"
"Izvoarele (Blaj)","Alba"
"Izvoarele (Garda de Sus)","Alba"
"Izvoarele (Livezile)","Alba"
"Izvoru Ampoiului","Alba"
"Jeflesti","Alba"
"Jidostina","Alba"
"Jidvei","Alba"
"Jojei","Alba"
"Joldisesti","Alba"
"Jurcuiesti","Alba"
"Lancram","Alba"
"Laz (Sasciori)","Alba"
"Laz (Vintu de Jos)","Alba"
"Lazesti (Scarisoara)","Alba"
"Lazesti (Vadu Motilor)","Alba"
"Lazuri (Lupsa)","Alba"
"Lazuri (Sohodol)","Alba"
"Lehesti","Alba"
"Leorint","Alba"
"Lespezea","Alba"
"Limba (Ciugud)","Alba"
"Lipaia","Alba"
"Livezile","Alba"
"Lodroman","Alba"
"Loman","Alba"
"Lopadea Noua","Alba"
"Lopadea Veche","Alba"
"Luminesti","Alba"
"Lunca (Lupsa)","Alba"
"Lunca (Posaga)","Alba"
"Lunca (Valea Lunga)","Alba"
"Lunca (Vidra)","Alba"
"Lunca Ampoitei","Alba"
"Lunca Bisericii","Alba"
"Lunca de Jos","Alba"
"Lunca Goiesti","Alba"
"Lunca Larga (Bistra)","Alba"
"Lunca Larga (Ocolis)","Alba"
"Lunca Merilor","Alba"
"Lunca Metesului","Alba"
"Lunca Muresului","Alba"
"Lunca Tarnavei","Alba"
"Lunca Vesesti","Alba"
"Lupaiesti","Alba"
"Lupsa","Alba"
"Lupseni","Alba"
"Lupu","Alba"
"Lupulesti","Alba"
"Macaresti","Alba"
"Maghierat","Alba"
"Magina","Alba"
"Magura (Bucium)","Alba"
"Magura (Galda de Jos)","Alba"
"Mahaceni","Alba"
"Mamaligani","Alba"
"Manarade","Alba"
"Manastire","Alba"
"Mancesti","Alba"
"Margaia","Alba"
"Margineni","Alba"
"Marinesti","Alba"
"Martesti","Alba"
"Martinie","Alba"
"Matacina","Alba"
"Matei","Alba"
"Matisesti (Ciuruleasa)","Alba"
"Matisesti (Horea)","Alba"
"Medresti","Alba"
"Medves","Alba"
"Mereteu","Alba"
"Mescreac","Alba"
"Mesentea","Alba"
"Metes","Alba"
"Micesti","Alba"
"Micoslaca","Alba"
"Mihaiesti","Alba"
"Mihalt","Alba"
"Mihoesti","Alba"
"Miraslau","Alba"
"Modolesti (Intregalde)","Alba"
"Modolesti (Vidra)","Alba"
"Mogos","Alba"
"Moraresti (Ciuruleasa)","Alba"
"Moraresti (Sohodol)","Alba"
"Morcanesti","Alba"
"Motorasti","Alba"
"Mugesti","Alba"
"Muncelu","Alba"
"Munesti","Alba"
"Muntari","Alba"
"Mununa","Alba"
"Musca","Alba"
"Nadastia","Alba"
"Namas","Alba"
"Napaiesti","Alba"
"Necrilesti","Alba"
"Necsesti","Alba"
"Negesti","Alba"
"Negresti","Alba"
"Nelegesti","Alba"
"Nemesi","Alba"
"Nicoresti","Alba"
"Niculesti","Alba"
"Noslac","Alba"
"Novacesti","Alba"
"Oarda","Alba"
"Obreja","Alba"
"Ocna Mures","Alba"
"Ocnisoara","Alba"
"Ocoale","Alba"
"Ocolis","Alba"
"Odverem","Alba"
"Ohaba","Alba"
"Oidesti","Alba"
"Oiejdea","Alba"
"Olteni","Alba"
"Oncesti","Alba"
"Orasti","Alba"
"Orgesti","Alba"
"Ormenis","Alba"
"Paclisa","Alba"
"Padure","Alba"
"Padurea","Alba"
"Pagida","Alba"
"Panade","Alba"
"Panca","Alba"
"Pantesti","Alba"
"Parau Gruiului","Alba"
"Parau lui Mihai","Alba"
"Parau-Carbunari","Alba"
"Pastesti","Alba"
"Patrahaitesti","Alba"
"Patrangeni","Alba"
"Patrusesti","Alba"
"Patrutesti","Alba"
"Peles","Alba"
"Perjesti","Alba"
"Peste Valea Bistrii","Alba"
"Petelca","Alba"
"Petelei","Alba"
"Petreasa","Alba"
"Petreni","Alba"
"Petresti","Alba"
"Petrisat","Alba"
"Pianu","Alba"
"Pianu de Jos","Alba"
"Pianu de Sus","Alba"
"Pirita","Alba"
"Pitarcesti","Alba"
"Pitiga","Alba"
"Plai (Avram Iancu)","Alba"
"Plai (Garda de Sus)","Alba"
"Plaiuri","Alba"
"Plescuta","Alba"
"Plesesti","Alba"
"Plesi","Alba"
"Plisti","Alba"
"Podu lui Paul","Alba"
"Poduri","Alba"
"Poduri-Bricesti","Alba"
"Poiana (Bistra)","Alba"
"Poiana (Bucium)","Alba"
"Poiana (Sohodol)","Alba"
"Poiana Aiudului","Alba"
"Poiana Ampoiului","Alba"
"Poiana Galdei","Alba"
"Poiana Ursului","Alba"
"Poiana Vadului","Alba"
"Poieni (Blandiana)","Alba"
"Poieni (Bucium)","Alba"
"Poieni (Vidra)","Alba"
"Poienile-Mogos","Alba"
"Poienita (Arieseni)","Alba"
"Poienita (Vintu de Jos)","Alba"
"Poiu","Alba"
"Ponor","Alba"
"Ponorel","Alba"
"Popesti","Alba"
"Popestii de Jos","Alba"
"Popestii de Sus","Alba"
"Posaga","Alba"
"Posaga de Jos","Alba"
"Posaga de Sus","Alba"
"Posogani","Alba"
"Potionci","Alba"
"Preluca","Alba"
"Presaca Ampoiului","Alba"
"Puiuletesti","Alba"
"Purcareti","Alba"
"Puselesti","Alba"
"Racatau","Alba"
"Rachis","Alba"
"Rachita","Alba"
"Radesti","Alba"
"Rahau","Alba"
"Raicani","Alba"
"Ramet","Alba"
"Ratitis","Alba"
"Ravicesti","Alba"
"Razboieni-Cetate","Alba"
"Reciu","Alba"
"Remetea","Alba"
"Rimetea","Alba"
"Robesti","Alba"
"Rogoz","Alba"
"Rosesti","Alba"
"Rosia de Secas","Alba"
"Rosia Montana","Alba"
"Runc (Ocolis)","Alba"
"Runc (Scarisoara)","Alba"
"Runc (Vidra)","Alba"
"Runc (Zlatna)","Alba"
"Runcuri","Alba"
"Rusesti","Alba"
"Rusi","Alba"
"Sagagea","Alba"
"Salagesti","Alba"
"Salciua","Alba"
"Salciua de Jos","Alba"
"Salciua de Sus","Alba"
"Salistea","Alba"
"Salistea-Deal","Alba"
"Sanbenedic","Alba"
"Sancel","Alba"
"Sancrai","Alba"
"Sanmiclaus","Alba"
"Santamarie","Alba"
"Santimbru","Alba"
"SARACSAU","Alba"
"Sard","Alba"
"Sartas","Alba"
"Sasa","Alba"
"Sasciori","Alba"
"Scarisoara","Alba"
"Scoarta","Alba"
"Sebes","Alba"
"Sebesel","Alba"
"Sebisesti","Alba"
"SECASEL","Alba"
"Segaj","Alba"
"Seusa","Alba"
"Sfarcea","Alba"
"Sfoartea","Alba"
"Sibot","Alba"
"Sicoiesti","Alba"
"Silea","Alba"
"Silivas","Alba"
"Simocesti","Alba"
"Simulesti","Alba"
"Snide","Alba"
"Soal","Alba"
"Soharu","Alba"
"Sohodol","Alba"
"Sohodol (Albac)","Alba"
"Soicesti","Alba"
"Soimus","Alba"
"Sona","Alba"
"Sorlita","Alba"
"Spalnaca","Alba"
